1,Abkhazian,アプハジア語,ab,1000
2,Afar,アファル語,aa,1000
3,Afrikaans,アフリカーンス語,af,1000
4,Albanian,アルバニア語,sq,1000
5,Amharic,アムハラ語,am,1000
6,Arabic,アラビア語,ar,1000
7,Armenian,アルメニア語,hy,1000
8,Assamese,アッサム語,as,1000
9,Aymara,アイマラ語,ay,1000
10,Azerbaijani,アゼルバイジェン語,az,1000
11,Bashkir,バシキール語,ba,1000
12,Basque,バスク語,eu,1000
13,Bengali,ベンガル語,bn,1000
14,Bhutani,ブータン語,dz,1000
15,Bihari,ビハール語,bh,1000
16,Bislama,ビスラマ語,bi,1000
17,Breton,ブルターニュ語,br,1000
18,Bulgarian,ブルガリア語,bg,1000
19,Burmese,ビルマ語,my,1000
20,Byelorussian,白ロシア語,be,1000
21,Cambodian,カンボジア語,km,1000
22,Catalan,カタラン語,ca,1000
23,Chinese,中国語,zh,7
24,Corsican,コルシカ語,co,1000
25,Croatian,クロアチア語,hr,1000
26,Czech,チェック語,cs,1000
27,Danish,デンマーク語,da,1000
28,Dutch,オランダ語,nl,1000
29,English,英語,en,1
30,Esperanto,エスペラント語,eo,1000
31,Estonian,エストニア語,et,1000
32,Faeroese,フェロー語,fo,1000
33,Farsi,ペルシャ語,fa,1000
34,Fiji,フィジー語,fj,1000
35,Finnish,フィンランド語,fi,1000
36,French,フランス語,fr,3
37,Frisian,フリジア語,fy,1000
38,Gaelic [Manx],マン島ゲール語,gv,1000
39,Gaelic [Scottish],スコットランド・ゲール語,gd,1000
40,Galician,ガリシア語,gl,1000
41,Georgian,グルジア語,ka,1000
42,German,ドイツ語,de,5
43,Greek,ギリシャ語,el,1000
44,Greenlandic,グリーンランド語,kl,1000
45,Guarani,グワラニ語,gn,1000
46,Gujarati,グジャラート語,gu,1000
47,Hausa,ハウサ語,ha,1000
48,Hebrew,ヘブライ語,he (iw),1000
49,Hindi,ヒンディー語,hi,9
50,Hungarian,ハンガリー語,hu,1000
51,Icelandic,アイスランド語,is,1000
52,Indonesian,インドネシア語,id (in),1000
53,Interlingua,インターリンガ,ia,1000
